,DT
1,85.76583333
2,82.81483333
3,76.44883333
4,72.78066667
5,79.485
6,72.86066667
7,77.1395
8,85.68783333
9,102.9893833
10,114.4238333
11,107.4278333
12,98.9165
13,115.5346667
14,108.5146667
15,103.4041667
16,108.0926667
17,86.35266667
18,84.94083333
19,95.385
20,113.0666667
21,115.3816667
22,110.0133333
23,97.20683333
24,82.38066667
25,77.849
26,72.37933333
27,71.11033333
28,69.92433333
29,74.99616667
30,73.27716667
31,86.86033333
32,102.9885
33,124.2941
34,129.9093333
35,136.4486667
36,136.6062833
37,138.1368667
38,142.4875667
39,128.44675
40,132.2628333
41,120.6899
42,146.7706667
43,163.5373333
44,169.6911667
45,150.4208333
46,148.8641667
47,122.2066667
48,109.7605
49,87.51216667
50,78.87901667
51,84.50696667
52,83.72121667
53,79.43341667
54,89.42148333
55,94.1582
56,95.8932
57,127.9378333
58,138.0685
59,124.983
60,116.0829667
61,163.086
62,142.7195
63,106.4696667
64,147.7065
65,135.6908833
66,113.1252333
67,130.5091667
68,147.7908333
69,128.842
70,111.5216667
71,94.50733333
72,101.60325
73,80.24225
74,83.70478333
75,78.27233333
76,71.76158333
77,69.67
78,71.16175
79,83.49558333
80,94.77746667
81,111.99145
82,148.6618333
83,137.2506667
84,142.2368333
85,132.3938833
86,131.5331167
87,108.6052833
88,114.07625
89,129.5392667
90,111.5062667
91,114.38175
92,122.4033333
93,125.72
94,132.5458333
95,101.5705833
96,97.39483333
97,106.4013333
98,94.55753333
99,89.031
100,87.91466667
101,86.938
102,105.6511667
103,105.4081667
104,98.769
105,107.8795
106,134.713
107,122.5142333
108,147.0905
109,133.0553333
110,138.2487167
111,126.4658333
112,127.7111667
113,141.4086667
114,120.131
115,116.3046667
116,111.0143833
117,130.0738333
118,128.1886667
119,110.7183
120,100.3186333
121,85.65008333
122,79.73858333
123,79.10033333
124,79.162
125,73.07525
126,73.7478
127,82.83805
128,88.90106667
129,105.6643167
130,102.6182833
131,120.40705
132,107.8117
133,122.9572
134,99.02843333
135,101.7298667
136,102.5558
137,88.70775
138,92.14306667
139,114.9373667
140,127.4235
141,124.2616667
142,114.9429333
143,108.1264167
144,90.04411667
145,85.76583333
146,82.81483333
147,76.44883333
148,72.78066667
149,79.485
150,72.86066667
151,77.1395
152,85.68783333
153,102.9893833
154,114.4238333
155,107.4278333
156,98.9165
157,115.5346667
158,108.5146667
159,103.4041667
160,108.0926667
161,86.35266667
162,84.94083333
163,95.385
164,113.0666667
165,115.3816667
166,110.0133333
167,97.20683333
168,82.38066667
169,87.30498333
170,85.76336667
171,74.81291667
172,83.79605
173,79.92193333
174,84.25051667
175,90.46513333
176,102.64145
177,111.9492667
178,129.388
179,109.6807667
180,137.2526833
181,126.3568833
182,105.33375
183,129.51795
184,140.5081667
185,134.2128333
186,139.0241667
187,133.73
188,134.545
189,128.0316667
190,127.2593333
191,118.5649167
192,95.27178333
193,81.46708333
194,74.07408333
195,72.89625
196,90.47766667
197,74.42058333
198,73.08916667
199,83.07008333
200,104.77435
201,105.0704167
202,120.4966667
203,111.85675
204,118.6895333
205,112.7959167
206,113.4347833
207,111.4521
208,103.9515
209,115.7503
210,93.24498333
211,102.6107667
212,144.3058333
213,131.1791667
214,114.494
215,95.82516667
216,85.79033333
217,87.30498333
218,85.76336667
219,74.81291667
220,83.79605
221,79.92193333
222,84.25051667
223,90.46513333
224,102.64145
225,111.9492667
226,129.388
227,109.6807667
228,137.2526833
229,126.3568833
230,105.33375
231,129.51795
232,140.5081667
233,134.2128333
234,139.0241667
235,133.73
236,134.545
237,128.0316667
238,127.2593333
239,118.5649167
240,95.27178333
241,87.51216667
242,78.87901667
243,84.50696667
244,83.72121667
245,79.43341667
246,89.42148333
247,94.1582
248,95.8932
249,127.9378333
250,138.0685
251,124.983
252,116.0829667
253,163.086
254,142.7195
255,106.4696667
256,147.7065
257,135.6908833
258,113.1252333
259,130.5091667
260,147.7908333
261,128.842
262,111.5216667
263,94.50733333
264,101.60325
265,87.51216667
266,78.87901667
267,84.50696667
268,83.72121667
269,79.43341667
270,89.42148333
271,94.1582
272,95.8932
273,127.9378333
274,138.0685
275,124.983
276,116.0829667
277,163.086
278,142.7195
279,106.4696667
280,147.7065
281,135.6908833
282,113.1252333
283,130.5091667
284,147.7908333
285,128.842
286,111.5216667
287,94.50733333
288,101.60325
289,78.79166667
290,78.74916667
291,76.0575
292,73.78583333
293,72.05333333
294,75.95333333
295,86.08183333
296,83.84666667
297,88.69433333
298,93.61983333
299,95.687
300,89.89306667
301,108.7160167
302,99.22118333
303,103.5821833
304,101.4634667
305,80.65801667
306,85.39151667
307,109.46075
308,123.1178333
309,120.9548333
310,115.0098333
311,100.8593
312,89.27208333
313,90.29216667
314,85.79793333
315,77.52733333
316,73.4935
317,73.1695
318,74.8015
319,83.609
320,95.45083333
321,105.7107833
322,117.3026667
323,142.6933333
324,120.505
325,123.71
326,105.3108333
327,109.4948333
328,94.09616667
329,93.94833333
330,98.09148333
331,128.612
332,125.4116667
333,117.38
334,109.5
335,103.2106667
336,84.93875
337,62.845
338,58.93083333
339,59.29105
340,81.86285
341,76.68526667
342,77.65971667
343,94.76565
344,102.6879333
345,113.27395
346,108.9384167
347,129.0479667
348,142.3975
349,121.1526667
350,121.9407833
351,129.8825
352,133.3746667
353,127.9967833
354,125.1706667
355,118.3956667
356,142.2501667
357,132.6115
358,108.2894833
359,105.9672833
360,111.5615
361,90.91771667
362,79.00073333
363,74.81296667
364,80.19588333
365,78.08751667
366,74.08841667
367,90.5136
368,103.9928333
369,105.86715
370,129.3006667
371,142.4961667
372,141.9965
373,147.4229833
374,127.0848833
375,132.9939167
376,124.522
377,114.8767167
378,113.784
379,106.5381333
380,119.297
381,114.4995
382,111.4691667
383,100.62
384,87.4558
385,85.38473333
386,76.6212
387,77.76238333
388,84.99495
389,80.77148333
390,83.31268333
391,87.74305
392,103.7204
393,125.2126667
394,154.6755
395,138.3731
396,146.0616667
397,151.7705
398,123.2362167
399,131.59345
400,139.6268333
401,137.575
402,123.1666667
403,119.155
404,132.125
405,129.6683333
406,130.6816667
407,126.125
408,110.0756667
409,91.09125
410,79.33918333
411,72.05841667
412,79.07323333
413,74.76563333
414,80.03168333
415,89.22173333
416,101.5519833
417,121.8991667
418,128.1422
419,160.9051667
420,132.4019667
421,137.1428333
422,135.3516667
423,131.0496667
424,119.5458333
425,117.8068
426,112.1137
427,116.7279333
428,136.0283333
429,129.6316667
430,134.9216667
431,115.375
432,110.1816667
433,85.38473333
434,76.6212
435,77.76238333
436,84.99495
437,80.77148333
438,83.31268333
439,87.74305
440,103.7204
441,125.2126667
442,154.6755
443,138.3731
444,146.0616667
445,151.7705
446,123.2362167
447,131.59345
448,139.6268333
449,137.575
450,123.1666667
451,119.155
452,132.125
453,129.6683333
454,130.6816667
455,126.125
456,110.0756667
457,80.02216667
458,78.356
459,79.55933333
460,78.67178333
461,75.67505
462,73.92843333
463,81.58463333
464,86.22641667
465,101.26475
466,108.9525667
467,106.5563833
468,105.7329
469,111.29475
470,107.81495
471,101.8581
472,95.90535
473,85.68135
474,86.0682
475,110.1814667
476,123.9218333
477,120.8316667
478,114.0516667
479,107.3128333
480,89.97086667
481,77.37716667
482,72.05383333
483,69.65
484,69.374
485,69.23266667
486,71.4705
487,80.22216667
488,86.72016667
489,108.4476667
490,102.049
491,114.0738333
492,93.7285
493,102.37
494,93.15108333
495,104.6890833
496,92.95818333
497,82.59323333
498,104.8478667
499,133.2483333
500,139.425
501,129.6635
502,117.8816667
503,104.031
504,91.58633333
505,62.845
506,58.93083333
507,59.29105
508,81.86285
509,76.68526667
510,77.65971667
511,94.76565
512,102.6879333
513,113.27395
514,108.9384167
515,129.0479667
516,142.3975
517,121.1526667
518,121.9407833
519,129.8825
520,133.3746667
521,127.9967833
522,125.1706667
523,118.3956667
524,142.2501667
525,132.6115
526,108.2894833
527,105.9672833
528,111.5615
529,96.3624
530,82.5805
531,78.42563333
532,78.011
533,74.35516667
534,75.209
535,95.74866667
536,118.3693333
537,128.31
538,141.685
539,151.445
540,149.67
541,140.36
542,147.295
543,142.235
544,139.5
545,136.4721667
546,122.1686667
547,141.1183333
548,150.135
549,140.3225
550,136.0383333
551,116.4451667
552,106.3268333
553,78.82288333
554,84.6227
555,81.90936667
556,80.21258333
557,75.1328
558,77.93555
559,91.51936667
560,100.2281833
561,119.242
562,131.5458333
563,121.8393333
564,125.5227833
565,119.8106167
566,111.1401667
567,125.2325167
568,115.3199167
569,135.5731667
570,106.6321
571,91.47986667
572,98.528
573,94.82533333
574,91.79216667
