,WT1
1,62.19273352
2,45.79858431
3,35.17840016
4,19.64146137
5,21.9375607
6,19.90933962
7,13.44199318
8,10.94437113
9,10.92892713
10,45.69143301
11,100.2153756
12,134.6958172
13,134.6958172
14,124.4426403
15,112.9491598
16,100.8768709
17,88.06039976
18,73.22931763
19,41.72683483
20,68.62181165
21,96.24640389
22,102.2825483
23,82.43768985
24,58.1745597
25,39.27311063
26,28.97893197
27,19.29704647
28,10.6046031
29,7.762906835
30,7.392250801
31,5.925070664
32,2.650942358
33,5.955958667
34,57.58522754
35,82.68575059
36,101.7864269
37,112.8664729
38,115.0990195
39,111.6261692
40,108.8975012
41,100.2980625
42,78.71677889
43,35.29320513
44,49.76318249
45,72.58640982
46,86.90278301
47,79.29558726
48,63.15709524
49,49.60245553
50,39.00523238
51,34.25996043
52,28.36663882
53,24.23366003
54,23.62136687
55,24.31019667
56,39.12003734
57,157.795073
58,249.9665346
59,250
60,245.8909583
61,224.6023972
62,168.7015448
63,120.2256079
64,90.45832016
65,72.96143938
66,48.15591296
67,14.70484781
68,18.1489968
69,31.23676298
70,62.46061178
71,94.09654422
72,98.14820283
73,100.711497
74,93.35236202
75,82.93381132
76,78.96483962
77,87.15084375
78,92.19474528
79,89.71413797
80,119.8948603
81,215.4863362
82,250
83,248.9086888
84,237.4045177
85,200.9016045
86,142.3182701
87,107.5745106
88,85.57979245
89,74.247255
90,58.92461881
91,19.94760794
92,26.98897922
93,44.13773913
94,66.264483
95,81.28007311
96,88.14308667
97,73.87222545
98,49.33457728
99,31.9638611
100,20.94258432
101,13.17411492
102,9.276418977
103,6.650938731
104,11.98779693
105,46.70937038
106,142.5260125
107,110.3858656
108,51.31687637
109,27.52473573
110,16.42692231
111,9.925067037
112,6.789934744
113,5.338198609
114,5.13742659
115,3.330478421
116,22.12890231
117,52.97772155
118,69.80047597
119,63.15709524
120,51.95978418
121,47.29870254
122,48.26306426
123,45.74500866
124,42.47689395
125,38.73735412
126,35.25493681
127,34.10688714
128,51.95978418
129,69.85405162
130,160.391852
131,218.5382349
132,211.0809782
133,158.6260423
134,104.5977818
135,68.08605514
136,49.22742598
137,39.85168705
138,33.15017909
139,11.02159114
140,29.62949345
141,53.94208327
142,75.31876802
143,89.71413797
144,84.58754952
145,70.12192987
146,57.58522754
147,39.36950619
148,25.95573452
149,13.97774969
150,8.488774903
151,7.376806799
152,11.79645532
153,20.98085264
154,64.81794042
155,78.88215271
156,93.51773584
157,85.49710554
158,70.49695943
159,54.31711282
160,38.77562245
161,33.15017909
162,28.63451707
163,17.23055707
